"","Apr","Aug","Dec","Feb","Jan","Jul","Jun","Mar","May","Nov","Oct","Sep","Fri","Mon","Sat","Sun","Thur","Tue","Wed","temperature","wind_speed","scaledCollisions","num_collisions"
"118",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,11.1,9.3,0.656862745098039,318
"119",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,18.9,5.7,0.715686274509804,330
"120",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,17.2,5.2,0.647058823529412,316
"121",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,14.9,3.8,0.78921568627451,345
"122",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,12.9,3.4,0.759803921568627,339
"123",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,13.9,5.9,0.759803921568627,339
"124",0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,14.3,3.7,0.661764705882353,319
"125",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,11,2.9,0.593137254901961,305
"126",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,13.8,4.6,0.696078431372549,326
"127",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,13.7,6.9,0.71078431372549,329
"128",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,15.9,2.5,0.656862745098039,318
"129",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,19.3,3.4,0.67156862745098,321
"130",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,19.3,2.5,0.75,337
"131",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,19,2.1,0.666666666666667,320
"132",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,21.3,4.4,0.931372549019608,374
"133",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,24.1,4.5,0.799019607843137,347
"134",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,20.2,2.6,0.985294117647059,385
"135",0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,19.3,1.5,0.980392156862745,384
"136",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,24.3,2.2,0.950980392156863,378
"137",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,26.7,5.5,0.715686274509804,330
"138",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,18.4,6,0.676470588235294,322
"139",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,17.8,4.1,0.833333333333333,354
"140",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,22.7,3.5,0.730392156862745,333
"141",0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,16.8,7.2,0.852941176470588,358
"142",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,18.2,0.9,0.838235294117647,355
"143",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,19.8,2.5,0.759803921568627,339
"144",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,18.6,1,0.509803921568627,288
"145",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,21.2,2.5,0.720588235294118,331
"146",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,23.8,4.1,0.887254901960784,365
"147",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,28.6,2.7,0.897058823529412,367
"148",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,27.5,2.6,0.965686274509804,381
"149",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,27,2.6,0.838235294117647,355
"150",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,25.9,2.4,0.82843137254902,353
"151",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,25.7,4.9,0.911764705882353,370
"152",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,18.8,4.6,0.779411764705882,343
"153",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,19,4.2,0.700980392156863,327
"154",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,19.3,1.9,0.715686274509804,330
"155",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,19.9,2,0.71078431372549,329
"156",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,22.2,3.1,0.906862745098039,369
"157",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,20.8,3.8,0.911764705882353,370
"158",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,20.5,3.8,1,388
"159",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,23.2,3.6,0.995098039215686,387
"160",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,24.3,4.4,0.92156862745098,372
"161",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,24.1,2.5,0.681372549019608,323
"162",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,26.7,2.5,0.867647058823529,361
"163",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,22.3,4.2,0.519607843137255,290
"164",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,18.3,4.3,0.82843137254902,353
"165",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,20.3,2.8,0.980392156862745,384
"166",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,20.8,2.6,0.965686274509804,381
"167",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,23.7,2.4,0.936274509803922,375
"168",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,26.4,3.8,0.725490196078431,332
"169",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,28.4,4.1,0.955882352941177,379
"170",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,30,4.2,0.813725490196078,350
"171",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,31.3,4.3,0.867647058823529,361
"172",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,24.4,2.1,0.661764705882353,319
"173",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,22.6,1.9,0.730392156862745,333
"174",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,17.6,6.3,0.524509803921569,291
"175",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,19.7,2.4,0.514705882352941,289
"176",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,23.3,2.5,0.676470588235294,322
"177",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,26.7,5.6,0.696078431372549,326
"178",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,26.6,2.4,0.686274509803922,324
"179",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,26.1,4.2,0.593137254901961,305
"180",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,24.1,3.6,0.794117647058823,346
"181",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,22.8,2.7,0.534313725490196,293
"182",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,22.6,1.7,0.387254901960784,263
"183",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,25.2,3,0.583333333333333,303
"184",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,21.7,6.1,0.558823529411765,298
"185",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,24,3.2,0.720588235294118,331
"186",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,27.1,1.9,0.92156862745098,372
"187",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,28.9,2.9,0.813725490196078,350
"188",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,27.6,1.4,0.759803921568627,339
"189",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,24.7,3.9,0.617647058823529,310
"190",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,23.7,4.1,0.705882352941177,328
"191",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,25.9,2.3,0.5,286
"192",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,25.3,1.9,0.715686274509804,330
"193",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,23.3,2.8,0.71078431372549,329
"194",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,23.1,2.6,0.686274509803922,324
"195",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,23.6,2,0.75,337
"196",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,23.8,1.8,0.676470588235294,322
"197",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,26.7,2.2,0.857843137254902,359
"198",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,27.4,2.4,0.656862745098039,318
"199",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,23.8,3.9,0.568627450980392,300
"200",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,22.9,2.7,0.661764705882353,319
"201",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,20.6,3.4,0.82843137254902,353
"202",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,21.8,1.8,0.583333333333333,303
"203",0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,21.4,3.6,0.691176470588235,325
"204",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,22.2,1.9,0.632352941176471,313
"205",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,22.2,3,0.524509803921569,291
"206",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,22.8,4.3,0.588235294117647,304
"207",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,25.2,2.5,0.838235294117647,355
"208",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,25.9,3.9,0.735294117647059,334
"209",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,22.4,5.6,0.637254901960784,314
"210",0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,22.6,5.1,0.759803921568627,339
"211",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,24.8,1.7,0.720588235294118,331
"212",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,26.2,2.5,0.647058823529412,316
"213",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,27.2,3.5,0.686274509803922,324
"214",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,29.6,2,0.852941176470588,358
"215",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,28.9,2.7,0.57843137254902,302
"216",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,24.9,4,0.637254901960784,314
"217",0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,23.6,2.2,0.573529411764706,301
