collision_date,day,dd,year,mm,num_collisions,fatalities,injured,weighted_fatalities_injuries,dewp,slp,mxpsd,max,min,fog,temperature,visibility,wind_speed,gust,precipitation,snow_depth,thunder,hail,snow_ice_pellets
2023-02-28,2,28,2023,02,224,0,100,10.0,31.2,1006.7,15.9,46.0,32.0,1.0,34.3,3.5,6.3,24.1,0.47,1.2,0.0,0.0,1.0
2021-01-12,2,12,2021,01,279,0,100,10.0,23.0,1019.9,6.0,44.1,28.0,0.0,37.3,9.4,3.4,,0.0,,0.0,0.0,0.0
2020-05-27,3,27,2020,05,239,0,100,10.0,59.5,1023.0,14.0,79.0,57.9,0.0,66.7,9.2,6.9,,0.0,,0.0,0.0,0.0
2021-03-17,3,17,2021,03,243,0,100,10.0,30.5,1021.7,8.0,46.9,28.9,0.0,39.5,9.9,3.0,,0.0,,0.0,0.0,0.0
2015-03-23,1,23,2015,03,586,0,100,10.0,4.3,1022.6,9.9,43.0,23.0,0.0,30.3,10.0,5.5,17.1,0.0,,0.0,0.0,0.0
2022-01-07,5,07,2022,01,296,0,100,10.0,20.1,1011.9,11.1,41.0,27.0,1.0,31.1,6.1,6.9,22.9,0.35,5.9,0.0,0.0,1.0
2021-02-20,6,20,2021,02,257,0,100,10.0,20.4,1018.3,13.0,34.0,27.0,0.0,31.4,9.3,5.5,20.0,0.11,5.1,0.0,0.0,1.0
2013-12-26,4,26,2013,12,428,0,100,10.0,18.7,1026.3,8.0,35.1,28.0,0.0,31.9,10.0,4.5,15.9,0.0,,0.0,0.0,0.0
2023-02-09,4,09,2023,02,236,0,100,10.0,30.9,1023.1,9.9,53.1,39.0,0.0,47.5,9.7,3.0,18.1,0.0,,0.0,0.0,0.0
2013-02-03,7,03,2013,02,445,0,105,10.5,18.0,1013.2,7.0,30.0,24.1,0.0,26.5,7.6,2.6,17.1,0.03,1.2,0.0,0.0,1.0
2021-02-12,5,12,2021,02,290,0,105,10.5,4.7,1026.6,9.9,30.0,19.9,0.0,25.8,10.0,4.6,15.9,0.1,9.1,0.0,0.0,0.0
2023-01-17,2,17,2023,01,254,0,105,10.5,12.6,1006.8,7.0,48.0,28.0,0.0,41.0,10.0,3.4,,0.0,,0.0,0.0,0.0
2018-02-19,1,19,2018,02,435,0,105,10.5,31.4,1031.8,7.0,48.9,33.1,0.0,42.5,9.8,3.8,14.0,0.01,3.1,0.0,0.0,0.0
2015-04-07,2,07,2015,04,452,0,105,10.5,41.0,1021.8,12.0,63.0,42.1,0.0,54.9,9.4,5.7,18.1,0.0,,0.0,0.0,0.0
2021-01-15,5,15,2021,01,272,0,105,10.5,34.4,1013.3,12.0,48.9,37.9,0.0,41.2,7.0,5.7,17.1,0.0,,0.0,0.0,0.0
2016-01-27,3,27,2016,01,670,0,105,10.5,24.7,1015.7,9.9,48.0,37.9,0.0,43.9,9.9,6.2,22.0,0.0,16.9,0.0,0.0,0.0
2015-03-19,4,19,2015,03,582,0,110,11.0,5.1,1024.5,8.9,43.0,28.9,0.0,34.0,10.0,5.5,18.1,0.0,,0.0,0.0,0.0
2019-11-28,4,28,2019,11,374,0,110,11.0,32.0,1007.7,17.1,59.0,41.0,0.0,49.2,10.0,10.7,31.1,0.04,,0.0,0.0,0.0
2014-02-19,3,19,2014,02,552,0,110,11.0,28.2,1014.5,8.9,45.0,26.1,0.0,38.4,6.8,3.9,17.1,0.09,18.1,0.0,0.0,0.0
2016-02-13,6,13,2016,02,480,0,110,11.0,-0.7,1015.8,18.1,27.0,9.0,0.0,19.3,10.0,9.4,31.1,0.0,,0.0,0.0,0.0
2017-02-22,3,22,2017,02,477,0,110,11.0,35.4,1017.0,7.0,57.0,34.0,0.0,47.2,9.8,3.5,19.0,0.0,,0.0,0.0,0.0
2012-12-23,7,23,2012,12,408,0,110,11.0,20.5,1011.5,21.0,42.1,33.1,0.0,37.8,10.0,7.6,32.1,0.01,,0.0,0.0,0.0
2015-04-06,1,06,2015,04,510,0,110,11.0,34.8,1024.1,7.0,62.1,42.1,0.0,50.8,10.0,3.5,22.9,0.0,,0.0,0.0,0.0
2020-05-16,6,16,2020,05,217,0,110,11.0,53.4,1014.9,8.9,84.0,60.1,0.0,70.5,9.7,3.6,18.1,0.05,,0.0,0.0,0.0
2021-02-10,3,10,2021,02,279,0,110,11.0,16.3,1025.2,7.0,35.1,26.1,0.0,29.4,9.5,3.9,15.0,0.0,9.1,0.0,0.0,0.0
2022-01-22,6,22,2022,01,267,0,110,11.0,3.4,1029.3,11.1,28.9,12.9,0.0,20.5,10.0,5.2,17.1,0.0,,0.0,0.0,0.0
2014-03-13,4,13,2014,03,545,0,110,11.0,11.7,1000.8,17.1,55.9,18.0,0.0,28.7,9.1,11.0,31.1,0.35,,0.0,0.0,0.0
2022-03-12,6,12,2022,03,253,0,110,11.0,34.4,1002.0,18.1,55.0,24.1,0.0,39.8,7.0,7.1,32.1,0.01,,0.0,0.0,1.0
2022-01-11,2,11,2022,01,257,0,110,11.0,0.1,1028.9,12.0,39.9,15.1,0.0,19.6,9.7,7.2,22.0,0.0,,0.0,0.0,1.0
2015-02-12,4,12,2015,02,526,0,110,11.0,19.4,1009.9,8.9,39.9,21.9,0.0,32.3,8.9,4.6,21.0,0.0,7.9,0.0,0.0,1.0
2014-02-14,5,14,2014,02,792,0,115,11.5,26.4,993.7,18.1,39.9,24.1,1.0,35.5,6.3,9.3,26.0,1.83,11.8,0.0,0.0,1.0
2023-01-16,1,16,2023,01,216,0,115,11.5,10.3,1013.1,13.0,48.0,28.0,0.0,35.5,10.0,7.3,21.0,0.0,,0.0,0.0,0.0
