day,dd,mm,year,collision_date,num_collisions,injured,fatalities,weighted_fatalities_injuries,num_vehicles_involved,dewp,slp,mxpsd,max,min,fog,temperature,visibility,wind_speed,gust,precipitation,snow_depth,thunder,hail,snow_ice_pellets
2,21,11,2017,2017-11-21,790,194,0,19.4,1487,28.3,1018.9,7.0,57.9,36.0,0.0,48.0,10.0,4.0,20.0,0.0,,0.0,0.0,0.0
4,22,06,2017,2017-06-22,845,194,0,19.4,1590,59.2,1014.5,7.0,82.9,68.0,0.0,75.8,10.0,1.9,,0.0,,0.0,0.0,0.0
3,30,11,2016,2016-11-30,730,194,0,19.4,1305,53.0,1012.4,8.9,60.1,51.1,0.0,55.8,5.6,4.0,15.9,2.2,,0.0,0.0,0.0
4,17,05,2018,2018-05-17,732,207,0,20.4,1394,58.5,1016.6,4.1,71.1,55.4,0.0,61.2,4.2,1.3,,0.54,,0.0,0.0,0.0
2,18,07,2017,2017-07-18,706,204,0,20.4,1338,69.5,1018.2,7.0,88.0,73.0,0.0,79.6,10.0,1.9,,0.0,,0.0,0.0,0.0
7,08,06,2014,2014-06-08,516,204,0,20.4,1040,53.9,1013.5,8.0,86.0,60.1,0.0,75.0,10.0,2.1,,0.0,,0.0,0.0,0.0
6,04,06,2016,2016-06-04,635,204,0,20.4,1186,63.1,1015.5,7.0,82.9,63.0,0.0,72.4,6.4,2.1,,0.03,,0.0,0.0,0.0
6,26,10,2019,2019-10-26,525,204,0,20.4,975,44.6,1022.8,8.0,64.9,52.0,0.0,58.7,10.0,3.0,,0.0,,0.0,0.0,0.0
5,12,04,2019,2019-04-12,688,214,0,21.4,1282,36.3,1023.7,7.0,68.0,39.9,0.0,52.9,9.5,3.3,,0.0,,0.0,0.0,0.0
2,11,06,2019,2019-06-11,682,214,0,21.4,1283,57.9,1013.1,11.1,77.0,60.1,1.0,69.9,6.3,5.1,21.0,1.07,,0.0,0.0,0.0
3,12,06,2019,2019-06-12,686,214,0,21.4,1280,45.6,1020.7,8.0,77.0,59.0,0.0,67.1,10.0,3.7,,0.45,,0.0,0.0,0.0
5,15,06,2018,2018-06-15,728,234,0,23.4,1372,50.2,1012.9,7.0,84.0,63.0,0.0,70.2,10.0,3.5,,0.0,,0.0,0.0,0.0
5,01,11,2019,2019-11-01,782,234,0,23.4,1414,39.0,1012.8,15.0,71.1,45.0,0.0,54.9,9.9,8.7,25.1,0.33,,0.0,0.0,0.0
5,15,09,2017,2017-09-15,827,257,0,25.4,1555,63.3,1015.9,5.1,81.0,66.9,0.0,74.2,10.0,2.0,,0.02,,0.0,0.0,0.0
1,24,10,2022,2022-10-24,295,169,0,16.9,470,52.8,1021.8,9.9,61.0,54.0,0.0,57.2,6.0,6.9,20.0,0.16,,0.0,0.0,0.0
1,31,10,2016,2016-10-31,655,169,0,16.9,1222,37.2,1020.4,9.9,57.9,44.1,0.0,50.7,9.8,4.3,20.0,0.56,,0.0,0.0,0.0
5,30,08,2013,2013-08-30,599,169,0,16.9,1229,64.3,1014.8,7.0,84.0,69.8,0.0,75.1,9.2,3.6,,0.0,,0.0,0.0,0.0
6,04,05,2013,2013-05-04,580,169,0,16.9,1171,41.4,1026.5,14.0,69.1,48.0,0.0,54.7,10.0,4.9,18.1,0.0,,0.0,0.0,0.0
