"","dowStartSat","num_collisions","temperature","visibility","wind_speed","bft_wind_scale"
"59",4,268,-1.55555555555556,10,11.1,4
"60",5,244,4.11111111111111,10,6,2
"61",6,262,5.44444444444444,10,6.8,2
"62",7,306,-1.27777777777778,10,11.1,4
"63",1,251,0.444444444444443,10,8.4,3
"64",2,216,0.388888888888891,10,5.9,2
"65",3,250,0.944444444444446,10,4.2,2
"66",4,299,10.1111111111111,10,6.6,2
"67",5,224,8.88888888888889,10,5.3,2
"68",6,287,12.0555555555556,7.3,2.6,1
"69",7,338,17.2777777777778,10,6,2
"70",1,252,7.33333333333333,10,7.4,3
"71",2,244,7.38888888888889,10,8,3
"72",3,253,-0.499999999999999,10,9,3
"73",4,237,0.388888888888891,10,3.7,1
"74",5,243,4.16666666666667,9.9,3,1
"75",6,244,7.38888888888889,6.5,3.7,1
"76",7,309,3.61111111111111,9.3,11.3,4
"77",1,283,6.44444444444445,10,3,1
"78",2,261,11.0555555555556,10,2.5,1
"79",3,295,10.3333333333333,9.5,2.9,1
"80",4,283,11.1111111111111,8.8,4.1,2
"81",5,268,10.8888888888889,8.4,4.1,2
"82",6,257,13.1111111111111,4.1,4.1,2
"83",7,336,17,7,5.3,2
"84",1,325,14.4444444444444,10,6.6,2
"85",2,198,12.2222222222222,6.9,3.8,1
"86",3,240,10.5,9.5,10.5,3
"87",4,281,10.3333333333333,10,4.6,2
"88",5,284,13.4444444444444,9.2,4.8,2
"89",6,263,9.22222222222222,8.3,7.9,3
"90",7,283,1.72222222222222,10,9.1,3
"91",1,281,4.61111111111111,10,5.9,2
"92",2,259,11.3333333333333,10,3.3,1
"93",3,268,14,10,6.9,2
"94",4,318,14.2222222222222,10,6.8,2
"95",5,303,15.5555555555556,10,2.5,1
"96",6,310,14.2222222222222,10,3.1,1
"97",7,281,11.5,9.9,3.9,1
"98",1,294,14.1666666666667,9.7,2.4,1
"99",2,215,12.7777777777778,3.5,4.8,2
"100",3,264,8.66666666666667,7.2,8,3
"101",4,321,11.3333333333333,9.1,4.3,2
"102",5,295,14.6666666666667,10,3.2,1
"103",6,270,12.5555555555556,6.9,3.5,1
"104",7,298,7.77777777777778,9.5,5.5,2
"105",1,264,9.22222222222222,10,5.4,2
"106",2,258,12.5555555555556,10,2.9,1
"107",3,320,14.9444444444444,10,3,1
"108",4,313,16.7777777777778,10,2.7,1
"109",5,283,14.7222222222222,9.6,4.7,2
"110",6,252,5.11111111111111,10,10.7,3
"111",7,357,9.66666666666667,10,7.5,3
"112",1,301,15.7777777777778,10,3.7,1
"113",2,273,13.3888888888889,7.7,3.9,1
"114",3,300,11.1111111111111,10,7.4,3
"115",4,273,12.4444444444444,10,2.7,1
"116",6,324,19.2777777777778,8.2,1.3,1
"117",7,331,18.3888888888889,9.7,9.2,3
"118",1,318,11.1111111111111,10,9.3,3
"119",2,330,18.8888888888889,10,5.7,2
"120",3,316,17.1666666666667,10,5.2,2
"121",4,345,14.8888888888889,7,3.8,1
"122",5,339,12.9444444444444,5.6,3.4,1
"123",6,339,13.8888888888889,9.8,5.9,2
"124",7,319,14.2777777777778,10,3.7,1
"125",1,305,11,10,2.9,1
"126",4,326,13.7777777777778,10,4.6,2
"127",5,329,13.6666666666667,10,6.9,2
"128",6,318,15.8888888888889,10,2.5,1
"129",1,321,19.3333333333333,10,3.4,1
"130",2,337,19.2777777777778,10,2.5,1
"131",3,320,19,10,2.1,1
"132",4,374,21.3333333333333,10,4.4,2
